x-coordinate,y-coordinate,Similarity_score
http://polar.usc.edu/iv,http://polar.usc.edu/qm,0.6083074534161491
http://polar.usc.edu/iv,http://polar.usc.edu/158,0.9375
http://polar.usc.edu/iv,http://polar.usc.edu/15t,0.6116071428571428
http://polar.usc.edu/iv,http://polar.usc.edu/1fi,0.5491071428571428
http://polar.usc.edu/iv,http://polar.usc.edu/84,0.6797360248447205
http://polar.usc.edu/iv,http://polar.usc.edu/qb,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/-7,0.7199145962732919
http://polar.usc.edu/iv,http://polar.usc.edu/14q,0.6116071428571428
http://polar.usc.edu/iv,http://polar.usc.edu/iy,0.6523680124223603
http://polar.usc.edu/iv,http://polar.usc.edu/15-,0.4699044069993519
http://polar.usc.edu/iv,http://polar.usc.edu/p3,0.7467003105590062
http://polar.usc.edu/iv,http://polar.usc.edu/iu,0.9782608695652174
http://polar.usc.edu/iv,http://polar.usc.edu/p5,0.7010869565217391
http://polar.usc.edu/iv,http://polar.usc.edu/p4,0.6797360248447205
http://polar.usc.edu/iv,http://polar.usc.edu/uo,0.6574145962732919
http://polar.usc.edu/iv,http://polar.usc.edu/14d,0.5714285714285714
http://polar.usc.edu/iv,http://polar.usc.edu/zd,0.5509142624949208
http://polar.usc.edu/iv,http://polar.usc.edu/1h5,0.48076923076923084
http://polar.usc.edu/iv,http://polar.usc.edu/ii,0.6523680124223603
http://polar.usc.edu/iv,http://polar.usc.edu/1a0,0.6607142857142857
http://polar.usc.edu/iv,http://polar.usc.edu/5s,0.8032959326788218
http://polar.usc.edu/iv,http://polar.usc.edu/1a2,0.6160714285714286
http://polar.usc.edu/iv,http://polar.usc.edu/5q,0.6529503105590062
http://polar.usc.edu/iv,http://polar.usc.edu/az,0.5904503105590062
http://polar.usc.edu/iv,http://polar.usc.edu/1a6,0.6116071428571428
http://polar.usc.edu/iv,http://polar.usc.edu/ay,0.7288431677018634
http://polar.usc.edu/iv,http://polar.usc.edu/xq,0.8315217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/5y,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/xt,0.5904503105590062
http://polar.usc.edu/iv,http://polar.usc.edu/aq,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/h9,0.8047360248447205
http://polar.usc.edu/iv,http://polar.usc.edu/6c,0.6083074534161491
http://polar.usc.edu/iv,http://polar.usc.edu/y5,0.5904503105590062
http://polar.usc.edu/iv,http://polar.usc.edu/xo,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/5e,0.7690217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/h3,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/5i,0.811893639956881
http://polar.usc.edu/iv,http://polar.usc.edu/i7,0.9782608695652174
http://polar.usc.edu/iv,http://polar.usc.edu/15y,0.6160714285714286
http://polar.usc.edu/iv,http://polar.usc.edu/148,0.5669642857142857
http://polar.usc.edu/iv,http://polar.usc.edu/-r,0.4808160473210873
http://polar.usc.edu/iv,http://polar.usc.edu/p-,0.8092003105590062
http://polar.usc.edu/iv,http://polar.usc.edu/15w,0.5803571428571428
http://polar.usc.edu/iv,http://polar.usc.edu/143,0.75
http://polar.usc.edu/iv,http://polar.usc.edu/pl,0.566591996741676
http://polar.usc.edu/iv,http://polar.usc.edu/15r,0.9375
http://polar.usc.edu/iv,http://polar.usc.edu/15s,0.6383928571428572
http://polar.usc.edu/iv,http://polar.usc.edu/pq,0.6350931677018633
http://polar.usc.edu/iv,http://polar.usc.edu/-i,0.8304347826086956
http://polar.usc.edu/iv,http://polar.usc.edu/pu,0.508312639420851
http://polar.usc.edu/iv,http://polar.usc.edu/-o,0.6217003105590062
http://polar.usc.edu/iv,http://polar.usc.edu/pv,0.6568322981366459
http://polar.usc.edu/iv,http://polar.usc.edu/q6,0.7600931677018634
http://polar.usc.edu/iv,http://polar.usc.edu/4q,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/q4,0.7878826858759969
http://polar.usc.edu/iv,http://polar.usc.edu/i-,0.5192967261389225
http://polar.usc.edu/iv,http://polar.usc.edu/q2,0.6127717391304348
http://polar.usc.edu/iv,http://polar.usc.edu/15a,0.7721774193548387
http://polar.usc.edu/iv,http://polar.usc.edu/15c,0.5141423357664234
http://polar.usc.edu/iv,http://polar.usc.edu/hh,0.8181288819875776
http://polar.usc.edu/iv,http://polar.usc.edu/x4,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/51,0.6529503105590062
http://polar.usc.edu/iv,http://polar.usc.edu/1at,0.5625
http://polar.usc.edu/iv,http://polar.usc.edu/dc,0.8181288819875776
http://polar.usc.edu/iv,http://polar.usc.edu/ho,0.6663431677018633
http://polar.usc.edu/iv,http://polar.usc.edu/4r,0.6083074534161491
http://polar.usc.edu/iv,http://polar.usc.edu/x1,0.6797360248447205
http://polar.usc.edu/iv,http://polar.usc.edu/1ay,0.5064206762028609
http://polar.usc.edu/iv,http://polar.usc.edu/1az,0.9375
http://polar.usc.edu/iv,http://polar.usc.edu/he,0.8130434782608695
http://polar.usc.edu/iv,http://polar.usc.edu/bc,0.5993788819875776
http://polar.usc.edu/iv,http://polar.usc.edu/x6,0.6574145962732919
http://polar.usc.edu/iv,http://polar.usc.edu/1aa,0.6946428571428571
http://polar.usc.edu/iv,http://polar.usc.edu/hz,0.5725931677018633
http://polar.usc.edu/iv,http://polar.usc.edu/-3,0.7593386405388856
http://polar.usc.edu/iv,http://polar.usc.edu/d0,0.6350931677018633
http://polar.usc.edu/iv,http://polar.usc.edu/dl,0.6574145962732919
http://polar.usc.edu/iv,http://polar.usc.edu/1aj,0.6383928571428572
http://polar.usc.edu/iv,http://polar.usc.edu/1de,0.6116071428571428
http://polar.usc.edu/iv,http://polar.usc.edu/hw,0.6663431677018633
http://polar.usc.edu/iv,http://polar.usc.edu/n2,0.6663431677018633
http://polar.usc.edu/iv,http://polar.usc.edu/16w,0.9375
http://polar.usc.edu/iv,http://polar.usc.edu/19s,0.9375
http://polar.usc.edu/iv,http://polar.usc.edu/16p,0.7418478260869565
http://polar.usc.edu/iv,http://polar.usc.edu/ty,0.9565217391304348
http://polar.usc.edu/iv,http://polar.usc.edu/-t,0.6672840709689998
